Country_Name,Category,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_polarity,tone_activity_density,Source_Diversity,Inflation_Rate,Internet_Penetration,holiday_count,Search_Velocity_Lag1,Search_Velocity_Lag2
United_Kingdom,Nutrition_Diets,-2.700000000000003,3.779999999999987,39.0,-0.31,7.55,20.4,14.0,3.88306881626,95.4720993,0,-6.47999999999999,0.7800000000000011
United_Kingdom,Nutrition_Diets,6.959999999999994,9.659999999999997,54.0,-0.93,7.75,19.71,23.0,3.88306881626,95.4720993,0,-2.700000000000003,-6.47999999999999
United_Kingdom,Nutrition_Diets,7.140000000000001,0.1800000000000068,35.0,-0.48,6.76,19.59,14.0,3.88306881626,95.4720993,0,6.959999999999994,-2.700000000000003
United_Kingdom,Nutrition_Diets,-15.310000000000002,-22.450000000000003,5.0,-0.52,6.73,20.08,3.0,3.88306881626,95.4720993,0,7.140000000000001,6.959999999999994
India,Fashion_Beauty,-1.3599999999999994,-2.789999999999999,2120.0,-0.87,7.12,21.76,389.0,2.39884954182294,70.0,1,1.4299999999999995,0.2999999999999971
India,Fashion_Beauty,1.740000000000002,3.1000000000000014,2520.0,-0.86,7.08,21.83,567.0,2.39884954182294,70.0,1,-1.3599999999999994,1.4299999999999995
India,Fashion_Beauty,9.879999999999995,8.139999999999993,2768.0,-0.35,7.03,21.59,461.0,2.39884954182294,70.0,0,1.740000000000002,-1.3599999999999994
India,Fashion_Beauty,-5.069999999999993,-14.949999999999989,193.0,-0.91,7.34,21.31,110.0,2.39884954182294,70.0,0,9.879999999999995,1.740000000000002
India,Fitness_Wearables,-7.140000000000001,-6.540000000000006,74.0,-2.49,10.47,20.64,71.0,2.39884954182294,70.0,1,-0.5999999999999943,-1.7800000000000011
India,Fitness_Wearables,1.4000000000000057,8.540000000000006,30.0,1.12,6.49,20.44,23.0,2.39884954182294,70.0,1,-7.140000000000001,-0.5999999999999943
India,Fitness_Wearables,15.0,13.599999999999994,18.0,1.1,6.96,19.96,16.0,2.39884954182294,70.0,0,1.4000000000000057,-7.140000000000001
India,Fitness_Wearables,-5.160000000000011,-20.16000000000001,3.0,1.03,8.23,19.58,3.0,2.39884954182294,70.0,0,15.0,1.4000000000000057
India,Nutrition_Diets,-9.259999999999993,-10.11999999999999,13537.0,-1.74,8.05,22.83,1624.0,2.39884954182294,70.0,1,0.8599999999999994,0.4399999999999977
India,Nutrition_Diets,-0.9000000000000057,8.359999999999985,13305.0,-1.62,7.91,22.7,1551.0,2.39884954182294,70.0,1,-9.259999999999993,0.8599999999999994
India,Nutrition_Diets,24.680000000000007,25.580000000000013,14202.0,-1.35,7.74,22.18,1500.0,2.39884954182294,70.0,0,-0.9000000000000057,-9.259999999999993
India,Nutrition_Diets,-12.490000000000007,-37.170000000000016,1675.0,-1.11,8.25,21.8,506.0,2.39884954182294,70.0,0,24.680000000000007,-0.9000000000000057
Kenya,Fashion_Beauty,6.390000000000001,14.25,168.0,-0.57,8.31,20.83,41.0,4.06912878540729,34.97622513,0,-7.859999999999999,2.6199999999999903
Kenya,Fashion_Beauty,5.379999999999996,-1.0100000000000051,170.0,-2.02,8.44,21.14,49.0,4.06912878540729,34.97622513,0,6.390000000000001,-7.859999999999999
Kenya,Fashion_Beauty,-7.4199999999999875,-12.799999999999985,140.0,-0.98,7.14,20.57,63.0,4.06912878540729,34.97622513,0,5.379999999999996,6.390000000000001
Kenya,Fashion_Beauty,33.33,40.74999999999999,9.0,-0.4,6.06,20.38,9.0,4.06912878540729,34.97622513,0,-7.4199999999999875,5.379999999999996
Kenya,Fitness_Wearables,0.8200000000000074,6.260000000000005,11.0,0.32,6.11,20.57,6.0,4.06912878540729,34.97622513,0,-5.439999999999998,7.339999999999989
Kenya,Fitness_Wearables,-11.180000000000009,-12.000000000000014,15.0,-0.69,7.01,20.52,4.0,4.06912878540729,34.97622513,0,0.8200000000000074,-5.439999999999998
Kenya,Fitness_Wearables,8.930000000000007,20.110000000000014,6.0,-0.34,5.92,19.13,5.0,4.06912878540729,34.97622513,0,-11.180000000000009,0.8200000000000074
Kenya,Fitness_Wearables,31.94999999999999,23.019999999999985,1.0,-1.27,9.87,17.72,1.0,4.06912878540729,34.97622513,0,8.930000000000007,-11.180000000000009
Kenya,Nutrition_Diets,6.840000000000003,11.030000000000008,525.0,-1.2,8.21,21.4,249.0,4.06912878540729,34.97622513,0,-4.190000000000005,1.7600000000000051
Kenya,Nutrition_Diets,-7.649999999999999,-14.490000000000002,462.0,-1.21,8.56,21.01,170.0,4.06912878540729,34.97622513,0,6.840000000000003,-4.190000000000005
Kenya,Nutrition_Diets,5.849999999999994,13.499999999999991,511.0,-0.94,8.16,21.14,197.0,4.06912878540729,34.97622513,0,-7.649999999999999,6.840000000000003
Kenya,Nutrition_Diets,15.290000000000006,9.440000000000012,49.0,0.17,8.38,20.71,24.0,4.06912878540729,34.97622513,0,5.849999999999994,-7.649999999999999
Mexico,Fashion_Beauty,-5.710000000000001,-8.350000000000001,1081.0,0.29,5.99,20.39,446.0,3.80668650726485,83.12233799,0,2.640000000000001,-5.090000000000003
Mexico,Fashion_Beauty,-4.170000000000002,1.5399999999999991,1276.0,0.25,5.9,19.97,411.0,3.80668650726485,83.12233799,0,-5.710000000000001,2.640000000000001
Mexico,Fashion_Beauty,-0.1299999999999954,4.040000000000006,1145.0,0.0,5.98,19.97,382.0,3.80668650726485,83.12233799,0,-4.170000000000002,-5.710000000000001
Mexico,Fashion_Beauty,6.18,6.309999999999995,99.0,0.12,5.92,19.56,73.0,3.80668650726485,83.12233799,1,-0.1299999999999954,-4.170000000000002
Mexico,Fitness_Wearables,-6.420000000000002,-5.659999999999997,3.0,-1.54,8.18,19.84,3.0,3.80668650726485,83.12233799,0,-0.7600000000000051,-4.030000000000001
Mexico,Fitness_Wearables,-2.9099999999999966,3.510000000000005,4.0,0.43,6.05,22.86,3.0,3.80668650726485,83.12233799,0,-6.420000000000002,-0.7600000000000051
Mexico,Fitness_Wearables,6.549999999999997,9.459999999999994,5.0,1.0,4.85,17.84,5.0,3.80668650726485,83.12233799,0,-2.9099999999999966,-6.420000000000002
Mexico,Fitness_Wearables,-3.5799999999999983,-10.129999999999995,2.0,2.39,6.85,20.94,2.0,3.80668650726485,83.12233799,1,6.549999999999997,-2.9099999999999966
Mexico,Nutrition_Diets,-6.130000000000003,-2.950000000000003,4828.0,-1.52,7.25,20.65,757.0,3.80668650726485,83.12233799,0,-3.18,-4.759999999999998
Mexico,Nutrition_Diets,-1.129999999999999,5.000000000000004,5295.0,-1.59,7.23,20.43,862.0,3.80668650726485,83.12233799,0,-6.130000000000003,-3.18
Mexico,Nutrition_Diets,8.249999999999996,9.379999999999995,5237.0,-1.63,7.41,20.43,792.0,3.80668650726485,83.12233799,0,-1.129999999999999,-6.130000000000003
Mexico,Nutrition_Diets,-4.529999999999998,-12.779999999999994,508.0,-1.46,7.26,20.25,214.0,3.80668650726485,83.12233799,1,8.249999999999996,-1.129999999999999
Nigeria,Fashion_Beauty,-2.6000000000000085,-5.460000000000008,28.0,-1.21,6.85,19.79,21.0,23.0101235833333,41.21139908,1,2.8599999999999994,-1.9899999999999949
Nigeria,Fashion_Beauty,3.390000000000001,5.990000000000009,22.0,-0.44,8.08,19.35,13.0,23.0101235833333,41.21139908,0,-2.6000000000000085,2.8599999999999994
Nigeria,Fashion_Beauty,1.7999999999999972,-1.5900000000000034,81.0,-2.52,9.33,15.06,19.0,23.0101235833333,41.21139908,0,3.390000000000001,-2.6000000000000085
Nigeria,Fashion_Beauty,-2.640000000000001,-4.439999999999998,1.0,0.94,4.93,14.55,1.0,23.0101235833333,41.21139908,0,1.7999999999999972,3.390000000000001
Nigeria,Fitness_Wearables,-3.530000000000001,1.3399999999999892,4.0,-2.72,7.28,21.62,4.0,23.0101235833333,41.21139908,1,-4.86999999999999,-7.900000000000006
Nigeria,Fitness_Wearables,-0.4699999999999988,3.0600000000000023,5.0,0.37,8.44,18.01,4.0,23.0101235833333,41.21139908,0,-3.530000000000001,-4.86999999999999
Nigeria,Fitness_Wearables,0.2399999999999948,0.7099999999999937,7.0,-0.8,7.4,19.1,7.0,23.0101235833333,41.21139908,0,-0.4699999999999988,-3.530000000000001
Nigeria,Nutrition_Diets,3.029999999999994,5.819999999999993,167.0,-2.63,8.32,19.97,97.0,23.0101235833333,41.21139908,1,-2.789999999999999,0.490000000000002
Nigeria,Nutrition_Diets,-1.1099999999999994,-4.1399999999999935,128.0,-1.49,8.34,19.84,76.0,23.0101235833333,41.21139908,0,3.029999999999994,-2.789999999999999
Nigeria,Nutrition_Diets,-3.619999999999997,-2.509999999999998,116.0,-0.98,7.42,19.64,69.0,23.0101235833333,41.21139908,0,-1.1099999999999994,3.029999999999994
Nigeria,Nutrition_Diets,7.479999999999997,11.099999999999994,6.0,-1.66,6.56,22.19,6.0,23.0101235833333,41.21139908,0,-3.619999999999997,-1.1099999999999994
