Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration
2023-01-29,GB,United_Kingdom,Fitness_Wearables,77.33,2.49,2.29
2023-01-29,GB,United_Kingdom,Nutrition_Diets,79.92,2.7,4.7
2023-01-29,IN,India,Fashion_Beauty,58.13,0.49,-2.72
2023-01-29,IN,India,Fitness_Wearables,78.74,3.23,4.25
2023-01-29,IN,India,Nutrition_Diets,78.49,3.39,4.04
2023-01-29,JP,Japan,Fashion_Beauty,19.05,-0.95,-0.71
2023-01-29,JP,Japan,Fitness_Wearables,27.54,0.22,1.33
2023-01-29,JP,Japan,Nutrition_Diets,11.21,0,0.49
2023-01-29,KE,Kenya,Fashion_Beauty,87.07,2.45,2.61
2023-01-29,KE,Kenya,Fitness_Wearables,75.14,1.77,-0.54
2023-01-29,KE,Kenya,Nutrition_Diets,82.58,2.98,4.42
2023-01-29,MX,Mexico,Fashion_Beauty,51.9,-3.13,-5.71
2023-01-29,MX,Mexico,Fitness_Wearables,67.03,-0.76,-0.32
2023-01-29,MX,Mexico,Nutrition_Diets,32.73,-2.17,-1.45
2023-01-29,NG,Nigeria,Fashion_Beauty,76.73,-9.11,-12.87
2023-01-29,NG,Nigeria,Fitness_Wearables,96.47,13.78,16.64
2023-01-29,NG,Nigeria,Nutrition_Diets,82.1,-8.59,-9.07
2023-01-29,SG,Singapore,Fashion_Beauty,50.37,-1.88,0.32
2023-01-29,SG,Singapore,Fitness_Wearables,66.67,0.2,-4.68
2023-01-29,SG,Singapore,Nutrition_Diets,53.23,-2.44,-5.72
2023-01-29,US,United_States,Fashion_Beauty,44.77,0.26,-1.64
2023-01-29,US,United_States,Fitness_Wearables,60.68,1.2,3.6
2023-01-29,US,United_States,Nutrition_Diets,62.58,-0.28,1.84
2023-01-29,ZA,South_Africa,Fashion_Beauty,70.61,-0.56,-5.16
2023-01-29,ZA,South_Africa,Fitness_Wearables,92.45,1.41,1.41
2023-01-29,ZA,South_Africa,Nutrition_Diets,88.03,-0.21,-0.72
2023-02-05,AE,United_Arab_Emirates,Fashion_Beauty,66.38,0.12,-0.24
2023-02-05,AE,United_Arab_Emirates,Fitness_Wearables,70.18,-1.67,-4.49
2023-02-05,AE,United_Arab_Emirates,Nutrition_Diets,71.65,0.55,0.46
2023-02-05,AU,Australia,Fashion_Beauty,61.91,3.72,4.21
2023-02-05,AU,Australia,Fitness_Wearables,81.4,-3.8,-5.65
2023-02-05,AU,Australia,Nutrition_Diets,77.98,-5.11,-5.86
2023-02-05,BR,Brazil,Fashion_Beauty,49.57,-1.11,0.12
2023-02-05,BR,Brazil,Fitness_Wearables,69.07,-4.2,-6.3
2023-02-05,BR,Brazil,Nutrition_Diets,35.85,-0.64,0.42
2023-02-05,CA,Canada,Fashion_Beauty,64.61,1.32,2.97
2023-02-05,CA,Canada,Fitness_Wearables,71.73,-4.19,-2.2
2023-02-05,CA,Canada,Nutrition_Diets,80.56,-0.72,0.45
2023-02-05,CN,China,Fashion_Beauty,14.53,0.74,-2.24
2023-02-05,CN,China,Fitness_Wearables,28.71,2.1,-0.5
2023-02-05,CN,China,Nutrition_Diets,5.71,-0.46,-0.46
2023-02-05,DE,Germany,Fashion_Beauty,44.92,0.34,2.8
2023-02-05,DE,Germany,Fitness_Wearables,68.22,-3.4,-0.67
2023-02-05,DE,Germany,Nutrition_Diets,44.93,-0.29,1.06
2023-02-05,FR,France,Fashion_Beauty,28.43,-1.25,4.86
2023-02-05,FR,France,Fitness_Wearables,55.12,-2.85,-2
2023-02-05,FR,France,Nutrition_Diets,35.8,-3.44,-3.76
2023-02-05,GB,United_Kingdom,Fashion_Beauty,51.4,0.23,0.46
2023-02-05,GB,United_Kingdom,Fitness_Wearables,73.19,-4.14,-6.63
2023-02-05,GB,United_Kingdom,Nutrition_Diets,77.32,-2.6,-5.3
2023-02-05,IN,India,Fashion_Beauty,55.17,-2.96,-3.45
2023-02-05,IN,India,Fitness_Wearables,76.02,-2.72,-5.95
2023-02-05,IN,India,Nutrition_Diets,77.44,-1.05,-4.44
2023-02-05,JP,Japan,Fashion_Beauty,19.4,0.35,1.3
2023-02-05,JP,Japan,Fitness_Wearables,26.66,-0.88,-1.1
2023-02-05,JP,Japan,Nutrition_Diets,10.72,-0.49,-0.49
2023-02-05,KE,Kenya,Fashion_Beauty,85.27,-1.8,-4.25
2023-02-05,KE,Kenya,Fitness_Wearables,83.56,8.42,6.65
2023-02-05,KE,Kenya,Nutrition_Diets,90.85,8.27,5.29
2023-02-05,MX,Mexico,Fashion_Beauty,54.76,2.86,5.99
2023-02-05,MX,Mexico,Fitness_Wearables,65.07,-1.96,-1.2
2023-02-05,MX,Mexico,Nutrition_Diets,31.65,-1.08,1.09
2023-02-05,NG,Nigeria,Fashion_Beauty,77.46,0.73,9.84
2023-02-05,NG,Nigeria,Fitness_Wearables,92.77,-3.7,-17.48
2023-02-05,NG,Nigeria,Nutrition_Diets,85.01,2.91,11.5
2023-02-05,SG,Singapore,Fashion_Beauty,50.05,-0.32,1.56
2023-02-05,SG,Singapore,Fitness_Wearables,65.57,-1.1,-1.3
2023-02-05,SG,Singapore,Nutrition_Diets,55.99,2.76,5.2
2023-02-05,US,United_States,Fashion_Beauty,44.25,-0.52,-0.78
2023-02-05,US,United_States,Fitness_Wearables,58.08,-2.6,-3.8
2023-02-05,US,United_States,Nutrition_Diets,62.86,0.28,0.56
2023-02-05,ZA,South_Africa,Fashion_Beauty,70.89,0.28,0.84
2023-02-05,ZA,South_Africa,Fitness_Wearables,86.79,-5.66,-7.07
2023-02-05,ZA,South_Africa,Nutrition_Diets,84.99,-3.04,-2.83
2023-02-12,AE,United_Arab_Emirates,Fashion_Beauty,67.11,0.73,0.61
2023-02-12,AE,United_Arab_Emirates,Fitness_Wearables,69.66,-0.52,1.15
2023-02-12,AE,United_Arab_Emirates,Nutrition_Diets,72.75,1.1,0.55
2023-02-12,AU,Australia,Fashion_Beauty,60.05,-1.86,-5.58
2023-02-12,AU,Australia,Fitness_Wearables,77.9,-3.5,0.3
2023-02-12,AU,Australia,Nutrition_Diets,80,2.02,7.13
2023-02-12,BR,Brazil,Fashion_Beauty,48.58,-0.99,0.12
2023-02-12,BR,Brazil,Fitness_Wearables,61.76,-7.31,-3.11
2023-02-12,BR,Brazil,Nutrition_Diets,34.36,-1.49,-0.85
2023-02-12,CA,Canada,Fashion_Beauty,60.31,-4.3,-5.62
2023-02-12,CA,Canada,Fitness_Wearables,66.91,-4.82,-0.63
2023-02-12,CA,Canada,Nutrition_Diets,73.81,-6.75,-6.03
2023-02-12,CN,China,Fashion_Beauty,14.66,0.13,-0.61
2023-02-12,CN,China,Fitness_Wearables,26.49,-2.22,-4.32
2023-02-12,CN,China,Nutrition_Diets,6.17,0.46,0.92
2023-02-12,DE,Germany,Fashion_Beauty,44.36,-0.56,-0.9
2023-02-12,DE,Germany,Fitness_Wearables,65.04,-3.18,0.22
2023-02-12,DE,Germany,Nutrition_Diets,43.19,-1.74,-1.45
2023-02-12,FR,France,Fashion_Beauty,28.05,-0.38,0.87
2023-02-12,FR,France,Fitness_Wearables,53.33,-1.79,1.06
2023-02-12,FR,France,Nutrition_Diets,34.89,-0.91,2.53
2023-02-12,GB,United_Kingdom,Fashion_Beauty,51.4,0,-0.23
2023-02-12,GB,United_Kingdom,Fitness_Wearables,67.29,-5.9,-1.76
2023-02-12,GB,United_Kingdom,Nutrition_Diets,75.12,-2.2,0.4
2023-02-12,IN,India,Fashion_Beauty,54.31,-0.86,2.1
2023-02-12,IN,India,Fitness_Wearables,74.32,-1.7,1.02
2023-02-12,IN,India,Nutrition_Diets,77.05,-0.39,0.66
2023-02-12,JP,Japan,Fashion_Beauty,20.36,0.96,0.61
2023-02-12,JP,Japan,Fitness_Wearables,27.1,0.44,1.32
2023-02-12,JP,Japan,Nutrition_Diets,10.53,-0.19,0.3
2023-02-12,KE,Kenya,Fashion_Beauty,81.01,-4.26,-2.46
2023-02-12,KE,Kenya,Fitness_Wearables,73.64,-9.92,-18.34
2023-02-12,KE,Kenya,Nutrition_Diets,83.79,-7.06,-15.33
2023-02-12,MX,Mexico,Fashion_Beauty,51.9,-2.86,-5.72
2023-02-12,MX,Mexico,Fitness_Wearables,61.48,-3.59,-1.63
2023-02-12,MX,Mexico,Nutrition_Diets,29.4,-2.25,-1.17
2023-02-12,NG,Nigeria,Fashion_Beauty,74.13,-3.33,-4.06
2023-02-12,NG,Nigeria,Fitness_Wearables,88.24,-4.53,-0.83
2023-02-12,NG,Nigeria,Nutrition_Diets,78.23,-6.78,-9.69
2023-02-12,SG,Singapore,Fashion_Beauty,47.12,-2.93,-2.61
2023-02-12,SG,Singapore,Fitness_Wearables,61.59,-3.98,-2.88
2023-02-12,SG,Singapore,Nutrition_Diets,53.55,-2.44,-5.2
2023-02-12,US,United_States,Fashion_Beauty,43.91,-0.34,0.18
2023-02-12,US,United_States,Fitness_Wearables,54.59,-3.49,-0.89
2023-02-12,US,United_States,Nutrition_Diets,58.71,-4.15,-4.43
2023-02-12,ZA,South_Africa,Fashion_Beauty,69.64,-1.25,-1.53
2023-02-12,ZA,South_Africa,Fitness_Wearables,83.49,-3.3,2.36
2023-02-12,ZA,South_Africa,Nutrition_Diets,76.67,-8.32,-5.28
2023-02-19,AE,United_Arab_Emirates,Fashion_Beauty,68.92,1.81,1.08
2023-02-19,AE,United_Arab_Emirates,Fitness_Wearables,69.76,0.1,0.62
2023-02-19,AE,United_Arab_Emirates,Nutrition_Diets,72.02,-0.73,-1.83
2023-02-19,AU,Australia,Fashion_Beauty,59.06,-0.99,0.87
2023-02-19,AU,Australia,Fitness_Wearables,79.65,1.75,5.25
2023-02-19,AU,Australia,Nutrition_Diets,82.77,2.77,0.75
2023-02-19,BR,Brazil,Fashion_Beauty,48.21,-0.37,0.62
2023-02-19,BR,Brazil,Fitness_Wearables,59.76,-2,5.31
2023-02-19,BR,Brazil,Nutrition_Diets,31.81,-2.55,-1.06
2023-02-19,CA,Canada,Fashion_Beauty,63.62,3.31,7.61
2023-02-19,CA,Canada,Fitness_Wearables,75.92,9.01,13.83
2023-02-19,CA,Canada,Nutrition_Diets,80.47,6.66,13.41
2023-02-19,CN,China,Fashion_Beauty,15.4,0.74,0.61
2023-02-19,CN,China,Fitness_Wearables,29.08,2.59,4.81
2023-02-19,CN,China,Nutrition_Diets,6.17,0,-0.46
2023-02-19,DE,Germany,Fashion_Beauty,44.25,-0.11,0.45
2023-02-19,DE,Germany,Fitness_Wearables,66.74,1.7,4.88
2023-02-19,DE,Germany,Nutrition_Diets,45.7,2.51,4.25
2023-02-19,FR,France,Fashion_Beauty,29.8,1.75,2.13
2023-02-19,FR,France,Fitness_Wearables,51.43,-1.9,-0.11
2023-02-19,FR,France,Nutrition_Diets,37.6,2.71,3.62
2023-02-19,GB,United_Kingdom,Fashion_Beauty,54.43,3.03,3.03
2023-02-19,GB,United_Kingdom,Fitness_Wearables,72.26,4.97,10.87
2023-02-19,GB,United_Kingdom,Nutrition_Diets,79.82,4.7,6.9
